KO,EC,RXN
K00027,1.1.1.38,R00214
K02622,5.6.2.2,
K02021,,
K03577,,
K16950,,R00858;R10146
K03650,,R08701
K21573,,
K03655,5.6.2.4,
K02014,,
K07308,,R09501
K22927,3.1.4.59,R12345
K01924,6.3.2.8,R03193
K01467,3.5.2.6,R06363
K02115,,
K09607,,
K03100,3.4.21.89,
K02002,,
K03688,,
K02810,2.7.1.211,R00811
K00282,1.4.4.2,R01221;R03425
K02003,,
K14053,,
K03517,2.5.1.72,R04292
K03781,1.11.1.6,R00009;R00602;R02670
K03972,,
K04042,2.3.1.157;2.7.7.23,R00416;R05332
K07636,2.7.13.3,
K11070,,
K00876,2.7.1.48,R00513;R00517;R00964;R00968;R08232
K03655,5.6.2.4,
K09607,,
K01468,3.5.2.7,R02288
K00876,2.7.1.48,R00513;R00517;R00964;R00968;R08232
K06158,,
K00700,2.4.1.18,R02110
K00266,1.4.1.13,R00114;R00248
K07354,,
K12528,,R07229
K01585,4.1.1.19,R00566
K03046,2.7.7.6,
K00001,1.1.1.1,R00623;R00754;R02124;R04805;R04880;R05233;R05234;R06917;R06927;R07105;R08281;R08306;R08310
K01607,4.1.1.44,R03470
K01414,3.4.24.70,
K01868,6.1.1.3,R03663
K17734,,
K01854,5.4.99.9,R00505;R09009
K00031,1.1.1.42,R00267;R00268;R01899
K27100,,
K02056,,
