KO,EC,RXN
K03485,,
K01126,3.1.4.46,R01030;R01470
K03286,,
K09812,,
K07126,,
K03196,7.4.2.8,
K01626,2.5.1.54,R01826
K03286,,
K02337,2.7.7.7,
K02000,7.6.2.9,
K02014,,
K07486,,
K02035,,
K01183,3.2.1.14,R01206;R02334
K01139,2.7.6.5;3.1.7.2,R00336;R00429
K01657,4.1.3.27,R00985;R00986
K12524,1.1.1.3;2.7.2.4,R00480;R01773;R01775
K07137,,
K01610,4.1.1.49,R00341
K06001,4.2.1.20,R00674;R02340;R02722
K07030,2.7.2.18,
K01507,3.6.1.1,
K21573,,
K03092,,
K00525,1.17.4.1,R02017;R02018;R02019;R02024
K22044,,
K07487,,
K01372,3.4.22.40,
K00661,2.3.1.79,
K08303,,
K01262,3.4.11.9,
K15738,,
K03544,,
K03406,,
K07462,,
K08224,,
K13895,,
K09458,2.3.1.179,R02768;R04355;R04726;R04952;R04957;R04960;R04963;R04968;R07762;R10115;R10119
K05989,3.2.1.40,R13063;R13064
K12308,3.2.1.23,R01105
K02836,,
K00764,2.4.2.14,R01072
K02495,1.3.98.3,R06895
K15738,,
K13444,1.8.3.7,
K01928,6.3.2.13,R02788
K09607,,
K03293,,
K09001,2.7.1.170,R09640;R12755
K00265,1.4.1.13,R00114;R00248
K18138,,
K07689,,
K02316,2.7.7.101,
K03320,,
K15726,,
K15725,,
K02867,,
K03292,,
K00074,1.1.1.157,R01976;R05576;R06941
K01524,3.6.1.11;3.6.1.40,R03409
K07459,,
K07386,,
K23121,4.2.1.172,R11819
K03496,,
K13889,,
K00558,2.1.1.37,R04858
K15725,,
K15727,,
K15726,,
K07648,2.7.13.3,
K03695,,
K07497,,
K07497,,
K06960,,
K02660,,
K01278,3.4.14.5,
K22927,3.1.4.59,R12345
K03655,5.6.2.4,
K11144,,
K02674,,
K12555,2.4.99.28;3.4.16.4,
K03579,5.6.2.6,
K02671,,
K02457,,
K02401,,
K02421,,
K02419,,
K02418,,
K02417,,
K02416,,
K01953,6.3.5.4,R00578
K27079,,
K03168,5.6.2.1,
K02412,7.4.2.8,
K02411,,
K02298,7.1.1.3,R11335;R13247
K20035,1.3.99.41,R11130
K04753,,
K01689,4.2.1.11,R00658
K01887,6.1.1.19,R03646
K00012,1.1.1.22,R00286
K25908,,
K15726,,
K21572,,
K01890,6.1.1.20,R03660
K19231,,
K05515,3.4.16.4,
K13525,,
K07484,,
K07284,3.4.22.70,
K03723,5.6.2.4,
K01840,5.4.2.8,R01818
K11738,,
K07496,,
K02372,4.2.1.59,R04428;R04535;R04537;R04544;R04568;R04954;R04965;R07764;R10117;R10121;R10208
K01950,6.3.5.1,R00257
K04567,6.1.1.6,R03658
K06942,,
K03581,3.1.11.5,
K03234,,
K24967,,
K03546,,
K13656,2.7.8.31,R09641
K03581,3.1.11.5,
K18964,2.7.7.7,
K21023,2.7.7.65,
K07003,,
K16693,,
K02029,,
K01338,3.4.21.53,
K01962,2.1.3.15;6.4.1.2,R00742;R04386
K15738,,
K02014,,
K02014,,
K01588,5.4.99.18,R07405
K03086,,
K01924,6.3.2.8,R03193
K22083,2.1.1.21,R01586
K02011,,
K04091,1.14.14.34;1.14.14.5,R07210;R10206
K04773,,
K06942,,
K03734,2.7.1.180,
K01897,6.2.1.3,R00390;R01280
K11523,,
K13378,7.1.1.2,R11945
K06921,,
K03088,,
K02004,,
K07728,,
K07098,,
K01714,4.3.3.7,R10147
K03439,2.1.1.33,
K02343,2.7.7.7,
K02551,2.2.1.9,R08165
K01872,6.1.1.7,R03038
K01952,6.3.5.3,R04463
K04066,5.6.2.4,
K21471,,
K02946,,
K09812,,
K01048,3.1.1.5,
K03043,2.7.7.6,
K03798,,
K03555,,
K03313,,
K01733,4.2.3.1,R01466;R05086
K02355,,
K25010,3.1.1.117,
K18650,3.2.1.82,
K04562,,
K03529,,
K10678,,R08014;R08017;R08042
K02563,2.4.1.227,R05032;R05662;R06173;R06174
K01928,6.3.2.13,R02788
K06907,,
K06976,,
K25652,,R12819
K02519,,
K02600,,
K03496,,
K00483,1.14.14.9,R02698;R03299
K07693,,
K02484,2.7.13.3,
K03555,,
K23264,6.3.5.3,R04463
K02169,2.1.1.197,R09543
K01869,6.1.1.4,R03657
K02340,2.7.7.7,
K25652,,R12819
K07315,3.1.3.3,
K01478,3.5.3.6,R00552
K03070,7.4.2.8,
K18682,,
K01439,3.5.1.18,R02734
K01869,6.1.1.4,R03657
K01975,3.1.4.58,R11786
K03572,,
K21636,1.1.98.6,R11633;R11634;R11635;R11636
K21935,2.3.1.264,R11701
K01591,4.1.1.23,R00965
K01703,4.2.1.33;4.2.1.35,R03896;R03898;R03968;R04001;R08620;R08624;R08628;R08634;R08641;R08645;R10170
K02337,2.7.7.7,
K13530,,
K01421,,
K01714,4.3.3.7,R10147
K10124,,
K20543,,
K01061,3.1.1.45,R03893;R05510;R05511;R06835;R06838;R08120;R08121;R09136;R09220;R09222
K03046,2.7.7.6,
K08676,,
K01811,3.2.1.177,
K03840,,
K06162,3.6.1.63,R10186
K02455,,
K21636,1.1.98.6,R11633;R11634;R11635;R11636
K01588,5.4.99.18,R07405
K00962,2.7.7.8,
K03655,5.6.2.4,
K02945,,
K07495,,
K25706,2.3.1.234,
K07648,2.7.13.3,
K21308,,R11487
K00024,1.1.1.37,R00342;R07136
K26937,,
K14977,3.5.3.26,R05554
K00620,2.3.1.1;2.3.1.35,R00259;R02282
K03561,,
K03587,3.4.16.4,
K02073,,
K07686,,
K00574,2.1.1.79,
K02014,,
K01868,6.1.1.3,R03663
K03646,,
K11781,2.5.1.147,R12161
K04043,,
K09760,,
K07789,,
K01689,4.2.1.11,R00658
K05989,3.2.1.40,R13063;R13064
K21573,,
K13652,,
K00962,2.7.7.8,
K02854,,
K26937,,
K01696,4.2.1.20,R00674;R02340;R02722
K11527,2.7.13.3,
K01881,6.1.1.15,R03661
K00265,1.4.1.13,R00114;R00248
K01243,3.2.2.9,R00194;R01401
K02227,6.3.1.10,R06529;R07302
K06858,,
K00164,1.2.4.2,R00621;R01700;R03316;R08549
K26069,,R13054
K01406,3.4.24.40,
K03189,,
K03188,,
K03187,,
K02014,,
K01872,6.1.1.7,R03038
K00865,2.7.1.165,R08572
K01006,2.7.9.1,R00206
K20276,,
K01689,4.2.1.11,R00658
K21834,,R13028;R13029
K07497,,
K02886,,
K03596,,
K03547,,
K02847,2.4.99.26,
K15987,7.2.3.1,
K02687,,
K05541,,
K01811,3.2.1.177,
K07106,4.2.1.126,R08555
K03076,,
K02952,,
K09921,,
K01778,5.1.1.7,R02735
K01586,4.1.1.20,R00451
K14645,,
K01784,5.1.3.2,R00291;R02984
K15366,,
K03594,1.16.3.1,R00078
K07133,,
K06921,,
K16211,,
K14194,,
K05515,3.4.16.4,
K02453,,
K01870,6.1.1.5,R03656
K04771,3.4.21.107,
K23722,3.1.1.108,
K01448,3.5.1.28,R04112
K01689,4.2.1.11,R00658
K09809,2.7.8.12,R12806;R12861
K07462,,
K06442,2.1.1.226;2.1.1.227,
K01007,2.7.9.2,R00199
K01880,6.1.1.14,R03654
K00380,1.8.1.2,R00858
K03406,,
K08195,,
K07862,,
K02588,,R05185;R05496
K26788,,
K07225,,
K21573,,
K03654,5.6.2.4,
K07126,,
K00831,2.6.1.52,R04173;R05085
K06994,,
K02600,,
K01182,3.2.1.10,R00801;R01718;R01791;R06199
K02591,1.18.6.1,R05185;R05496
K12573,3.1.13.1,
K18887,,
K18888,,
K08974,,
K01006,2.7.9.1,R00206
K02466,,
K16321,,
K15770,,
K07133,,
K01755,4.3.2.1,R01086
K03546,,
K00123,1.17.1.9,R00519
K02337,2.7.7.7,
K11690,,
K17317,,
K02844,,
K23536,,
K01338,3.4.21.53,
K02066,,
K06136,,
K01990,,
K03089,,
K16076,,
K03453,,
K13000,,
K00027,1.1.1.38,R00214
K21573,,
K03695,,
K01791,5.1.3.14,R00420
K03195,,
K07259,3.4.16.4,
K01465,3.5.2.3,R01993
K03043,2.7.7.6,
K11085,7.5.2.6,
K21573,,
K06959,,
K01880,6.1.1.14,R03654
K02337,2.7.7.7,
K20934,1.7.2.7,R09799
K22293,,
K06978,,
K02015,,
K01991,,
K21573,,
K00163,1.2.4.1,R00014;R00209;R01699;R03270
K15921,3.2.1.55,R01762
K03701,,
K18930,,R00297
K01226,3.2.1.93,R00837;R06113
K09760,,
K00248,1.3.8.1,R01175;R01178;R02661;R03172;R04432;R04751
K03529,,
K01740,2.5.1.49,R00651;R01287;R02026;R04859
K20616,2.5.1.150,R12285;R12286
K00986,2.7.7.49,
K11192,2.7.1.192,R08559
K02337,2.7.7.7,
K02314,5.6.2.3,
K07133,,
K01738,2.5.1.47,R00897;R03601;R04859;R07274
K03578,5.6.2.6,
K01915,6.3.1.2,R00253
K16089,,
K01810,5.3.1.9,R00771;R02739;R02740;R03321;R13199
K00113,,R00848
K00526,1.17.4.1,R02017;R02018;R02019;R02024
K26735,,
K03741,1.20.4.4,
K08316,2.1.1.171,R07234
K07460,,
K01733,4.2.3.1,R01466;R05086
K02356,,
K01519,3.6.1.66,R00720;R02720;R03531;R08243
K03586,,
K03635,2.8.1.12,R09395
K02335,2.7.7.7,
K02316,2.7.7.101,
K02314,5.6.2.3,
K01156,3.1.21.5,
K07484,,
K21480,1.14.15.20,R11579
K02498,,
K00525,1.17.4.1,R02017;R02018;R02019;R02024
K14645,,
K00179,1.2.7.8,
K21695,,
K06919,,
K01690,4.2.1.12,R02036
K16053,,
K01990,,
K00758,2.4.2.4,R01570;R02484;R08222;R08230
K01387,3.4.24.3,
K03595,,
K03702,,
K08988,,
K19702,3.4.11.24,
K02864,,
K21572,,
K21573,,
K03406,,
K03628,,
K06901,,
K07481,,
K02406,,
K01992,,
K01993,,
K01923,6.3.2.6,R04591
K07126,,
K00283,1.4.4.2,R01221;R03425
K21636,1.1.98.6,R11633;R11634;R11635;R11636
K22447,,
K02035,,
K03076,,
K01153,3.1.21.3,
K03582,3.1.11.5,
K01940,6.3.4.5,R01954
K06919,,
K03798,,
K07133,,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K15532,3.2.1.172,
K01881,6.1.1.15,R03661
K02876,,
K01142,3.1.11.2,
K01235,3.2.1.139,
K05984,,
K21572,,
K21573,,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K01868,6.1.1.3,R03663
K01703,4.2.1.33;4.2.1.35,R03896;R03898;R03968;R04001;R08620;R08624;R08628;R08634;R08641;R08645;R10170
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K19694,,
K01811,3.2.1.177,
K04333,,
K25010,3.1.1.117,
K06147,,
K17723,1.3.1.1,R00977;R01414;R11026
K15255,5.6.2.3,
K02045,7.3.2.3,
K01740,2.5.1.49,R00651;R01287;R02026;R04859
K08968,1.8.4.14,R02025
K02804,2.7.1.193,R05199
K15580,,
K13735,,
K07347,,
K00525,1.17.4.1,R02017;R02018;R02019;R02024
K02342,2.7.7.7,
K06385,,
K07456,,
K03043,2.7.7.6,
K01869,6.1.1.4,R03657
K07793,,
K05966,2.4.2.52,R09675
K12264,,
K07090,,
K14054,,
K02037,,
K10206,2.6.1.83,R07613
K01778,5.1.1.7,R02735
K07783,,
K11717,2.8.1.7;4.4.1.16,R03599;R11528
K04095,2.7.7.108,
K08224,,
K03578,5.6.2.6,
K07496,,
K07491,,
K03496,,
K03581,3.1.11.5,
K03499,,
K03546,,
K03169,5.6.2.1,
K03737,1.2.7.1,R01196;R10866
K16088,,
K02337,2.7.7.7,
K00425,7.1.1.7,R11325
K01364,3.4.22.10,
K19231,,
K03043,2.7.7.6,
K12132,2.7.11.1,
K03789,2.3.1.266,
K00858,2.7.1.23,R00104
K12748,3.5.1.93,R07402
K00324,7.1.1.1,R13176
K01961,6.3.4.14;6.4.1.2,R00742;R04385
K03687,,
K06909,,
K02469,5.6.2.2,
K02337,2.7.7.7,
K14645,,
K01153,3.1.21.3,
K02931,,
K01424,3.5.1.1,R00485
K20344,,
K01950,6.3.5.1,R00257
K21573,,
K06209,5.4.99.5,R01715
K01870,6.1.1.5,R03656
K00133,1.2.1.11,R02291
K03723,5.6.2.4,
K03723,5.6.2.4,
K04771,3.4.21.107,
K12132,2.7.11.1,
K00554,2.1.1.228,R00597
K18890,,
K02014,,
K01006,2.7.9.1,R00206
K23518,3.1.1.106,R12390;R12391
K01169,4.6.1.21,
K03979,,
K00631,2.3.1.15,R00851;R09380
K02014,,
K13735,,
K02469,5.6.2.2,
K00874,2.7.1.45,R01541
K07486,,
K01955,6.3.5.5,R00256;R00575;R01395;R10948;R10949
K01150,3.1.21.1,
K15738,,
K06919,,
K03485,,
K07126,,
K01129,3.1.5.1,R01856
K19694,,
K07273,,
K01925,6.3.2.9,R02783
K18691,4.2.2.29,
K01810,5.3.1.9,R00771;R02739;R02740;R03321;R13199
K02168,,
K06942,,
K02527,2.4.99.12;2.4.99.13;2.4.99.14;2.4.99.15,R04658;R05074;R06285;R09763;R09764;R09766
K17938,,
K01662,2.2.1.7,R05636
K07496,,
K03465,2.1.1.148,R06613
K01728,4.2.2.2,R02361;R06240
K24847,,
K06959,,
K02118,,
K00138,,R00711
K01006,2.7.9.1,R00206
K00864,2.7.1.30,R00847
K02338,2.7.7.7,
K03088,,
K03924,,
K03199,7.4.2.8,
K01537,7.2.2.10,
K06381,4.2.2.29,
K20276,,
K06147,,
K02409,,
K01872,6.1.1.7,R03038
K06203,,
K25619,,R12811
K07056,2.1.1.198,
K03070,7.4.2.8,
K02316,2.7.7.101,
K02935,,
K04066,5.6.2.4,
K14337,,
K07484,,
K11719,,
K07133,,
K03466,,
K01956,6.3.5.5,R00256;R00575;R01395;R10948;R10949
K01955,6.3.5.5,R00256;R00575;R01395;R10948;R10949
K15580,,
K10111,,
K01712,4.2.1.49,R02914
K03336,3.7.1.22,R08603
K00812,2.6.1.1,R00355;R00694;R00734;R00896;R02433;R02619;R05052
K01150,3.1.21.1,
K04084,1.8.4.16,
K19231,,
K03427,2.1.1.72,
K01007,2.7.9.2,R00199
K15738,,
K00951,2.7.6.5,R00429
K17247,,
K01485,3.5.4.1;3.5.4.21,R00974;R01411;R02922
K17837,3.5.2.6,R06363
K07277,,
K03697,,
K06918,,
K02454,7.4.2.8,
K00433,1.11.1.10,
K07133,,
K22186,4.2.1.82,R02429
K01156,3.1.21.5,
K02058,,
K02073,,
K07317,2.1.1.72,
K02377,1.1.1.271,R05692
K01609,4.1.1.48,R03508
K00748,2.4.1.182,R04606
K23833,,
K03694,,
K07636,2.7.13.3,
K02454,7.4.2.8,
K11618,,
K21573,,
K01423,,
K12452,1.17.1.1,R03391;R03392
K17723,1.3.1.1,R00977;R01414;R11026
K06182,5.4.99.21,
K06113,3.2.1.99,
K06113,3.2.1.99,
K00691,2.4.1.8,R01555
K01048,3.1.1.5,
K01176,3.2.1.1,R02108;R02112;R11262
K04088,,
K03924,,
K07578,,
K03665,,
K03646,,
K19221,2.5.1.17,R01492;R05220;R07268;R12184
K21636,1.1.98.6,R11633;R11634;R11635;R11636
K19353,,
K00612,,
K13038,4.1.1.36;6.3.2.5,R03269;R04231
K03705,,
K00177,1.2.7.3,R01197
K02931,,
K07004,,
K00859,2.7.1.24,R00130
K03546,,
K01875,6.1.1.11,R03662;R08218
K00616,2.2.1.2,R01827;R08575
K19354,,
K00067,1.1.1.133,R02777
K07078,,
K03118,,
K00040,1.1.1.57,R02454
K03229,,
K00820,2.6.1.16,R00768
K01207,3.2.1.52,R00022;R10831
K00797,2.5.1.16,R01920;R08359
K01192,3.2.1.25,
K08659,,
K09809,2.7.8.12,R12806;R12861
K10441,7.5.2.7,
K21573,,
K14441,2.8.4.4,R10652
K02355,,
K22719,,
K16092,,
K01207,3.2.1.52,R00022;R10831
K15923,3.2.1.51,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K01474,3.5.2.14,R03187
K00239,1.3.5.1,R02164
K18478,2.7.1.184,R10970
K02039,,
K03290,,
K25028,7.6.2.8,
K01924,6.3.2.8,R03193
K00979,2.7.7.38,R03351;R11396
K07486,,
K03684,3.1.13.5,
K00077,1.1.1.169,R02472
K22086,1.5.99.5,R00609
K05807,,
K16092,,
K03549,,
K10110,,
K04800,,
K01012,2.8.1.6,R01078
K08966,3.1.3.87,R07394
K01443,3.5.1.25,R02059
K26605,,
K01208,3.2.1.133;3.2.1.135;3.2.1.54,R02112;R03122;R11262
K02112,7.1.2.2;7.2.2.1,
K02230,6.6.1.2,R05227
K10942,2.7.13.3,
K06901,,
K01873,6.1.1.9,R03665
K03798,,
K02335,2.7.7.7,
K12524,1.1.1.3;2.7.2.4,R00480;R01773;R01775
K03924,,
K02342,2.7.7.7,
K03427,2.1.1.72,
K01868,6.1.1.3,R03663
K14194,,
K15125,,
K23946,2.3.2.27,
K03651,3.1.4.53,R00191
K12444,2.3.1.292,
K02316,2.7.7.101,
K07126,,
K11900,,
K25285,,
K01154,3.1.21.3,
K01885,6.1.1.17,R05578
K09704,,
K03572,,
K06919,,
K11392,2.1.1.178,
K02341,2.7.7.7,
K04084,1.8.4.16,
K01921,6.3.2.4,R01150
K21571,,
K03687,,
K03406,,
K01524,3.6.1.11;3.6.1.40,R03409
K00799,2.5.1.18,R03522;R07002;R07003;R07004;R07023;R07024;R07025;R07026;R07069;R07070;R07083;R07084;R07091;R07092;R07093;R07094;R07100;R07113;R07116;R08280;R09409;R11905
K21469,3.4.16.4,
K02528,2.1.1.182,R10716
K24119,1.11.1.26,
K03169,5.6.2.1,
K07273,,
K01810,5.3.1.9,R00771;R02739;R02740;R03321;R13199
K01486,3.5.4.2,R01244
K07639,2.7.13.3,
K03169,5.6.2.1,
K06894,,
K02017,7.3.2.5,
K00147,1.2.1.41,R03313
K07315,3.1.3.3,
K03696,,
K03321,,
K19804,,
K04077,5.6.1.7,
K01854,5.4.99.9,R00505;R09009
K03325,,
K06921,,
K02014,,
K03168,5.6.2.1,
K23866,3.1.3.48,
K19081,2.7.13.3,
K04487,2.8.1.7,R07460;R11528;R11529
K03466,,
K16079,,
K01154,3.1.21.3,
K02935,,
K02567,1.9.6.1,R00798;R01106;R03071
K03977,,
K07126,,
K01372,3.4.22.40,
K00275,1.4.3.5,R00277;R00278;R01710;R01711
K15923,3.2.1.51,
K04043,,
K04763,,
K07720,,
K03307,,
K03797,3.4.21.102,
K02519,,
K11927,5.6.2.7,
K01933,6.3.3.1,R04208
K10924,,
K03585,,
K20267,,
K02406,,
K03234,,
K02492,1.2.1.70,R04109
K01652,2.2.1.6,R00006;R00014;R00226;R03050;R04672;R04673;R08648
K01868,6.1.1.3,R03663
K25010,3.1.1.117,
K02111,7.1.2.2;7.2.2.1,
K07126,,
K01952,6.3.5.3,R04463
K03521,,
K21162,,
K12999,,
K09693,7.5.2.4,
K03408,,
K01696,4.2.1.20,R00674;R02340;R02722
K01153,3.1.21.3,
K26735,,
K01258,3.4.11.4,
K23385,4.1.1.116,R12304;R12305
K02363,6.2.1.71;6.3.2.14,R07644
K04066,5.6.2.4,
K06949,3.1.3.100,R00615;R02135
K05515,3.4.16.4,
K00962,2.7.7.8,
K03497,,
K03306,,
K24130,1.11.1.25,
K07497,,
K04043,,
K02471,,
K01255,3.4.11.1,R00899;R04951
K01609,4.1.1.48,R03508
K03718,,
K21470,,
K09607,,
K02470,5.6.2.2,
K01153,3.1.21.3,
K03092,,
K02406,,
K12132,2.7.11.1,
K01652,2.2.1.6,R00006;R00014;R00226;R03050;R04672;R04673;R08648
K03650,,R08701
K01218,3.2.1.78,R01332
K06399,3.4.21.116,
K01875,6.1.1.11,R03662;R08218
K25307,3.1.3.48,
K03453,,
K01873,6.1.1.9,R03665
K03529,,
K02031/K02032,,
K01284,3.4.15.5,
K21572,,
K03574,3.6.1.55,
K02440,,
K00371,1.7.5.1,R00798;R01106;R09497
K00370,1.7.5.1,R00798;R01106;R09497
K01126,3.1.4.46,R01030;R01470
K02470,5.6.2.2,
K01387,3.4.24.3,
K02316,2.7.7.101,
K01258,3.4.11.4,
K07263,,
K01876,6.1.1.12,R05577
K01126,3.1.4.46,R01030;R01470
K00817,2.6.1.9,R00694;R00734;R03243
K01421,,
K01421,,
K06207,,
K00525,1.17.4.1,R02017;R02018;R02019;R02024
K01991,,
K19005,2.7.8.20,R05081;R10849;R12813;R12900;R12901
K02480,2.7.13.3,
K00962,2.7.7.8,
K00140,1.2.1.18;1.2.1.27,R00705;R00706;R00922;R00935
K07133,,
K12524,1.1.1.3;2.7.2.4,R00480;R01773;R01775
K03929,,
K06926,,
K01924,6.3.2.8,R03193
K08659,,
K18704,2.7.8.14;2.7.8.47,R11614;R11621;R12865;R12869
K03701,,
K19231,,
K13688,2.4.1.397,
K03702,,
K20276,,
K21573,,
K18888,,
K04487,2.8.1.7,R07460;R11528;R11529
K05592,5.6.2.7,
K05366,2.4.99.28;3.4.16.4,
K03406,,
K01494,3.5.4.13,R02325
K02410,,
K21029,2.7.7.80,R07459
K02340,2.7.7.7,
K03118,,
K25767,3.2.1.217,
K01785,5.1.3.3,R01602;R10619
K05939,2.3.1.40;6.2.1.20,R01406;R04864
K00525,1.17.4.1,R02017;R02018;R02019;R02024
K00003,1.1.1.3,R01773;R01775
K00052,1.1.1.85,R00994;R04426;R10052
K01903,6.2.1.5,R00405;R02404
K00374,1.7.5.1,R00798;R01106;R09497
K15125,,
K03584,,
K08303,,
K02621,5.6.2.2,
K03885,1.6.5.9,
K03615,7.1.1.11;7.2.1.2,
K00609,2.1.3.2,R01397
K00035,1.1.1.48,R01094;R01097
K11910,,
K00973,2.7.7.24,R02328
K01206,3.2.1.51,
K00975,2.7.7.27,R00948
K02429,,
K11928,,
K02377,1.1.1.271,R05692
K08963,5.3.1.23,R04420
K00116,1.1.5.4,R00360;R00361;R01257
K01885,6.1.1.17,R05578
K07465,,
K06877,,
K07560,3.1.1.96,
K13735,,
K07317,2.1.1.72,
K15256,,
K00265,1.4.1.13,R00114;R00248
K14194,,
K01495,3.5.4.16,R00424;R00428;R04639;R05046;R05048
K02337,2.7.7.7,
K03470,3.1.26.4,
K03546,,
K00116,1.1.5.4,R00360;R00361;R01257
K07301,,
K07114,,
K07258,3.4.16.4,
K16322,,
K07133,,
K02549,4.2.1.113,R04031
K05802,,
K00610,,R01397
K06314,,
K01710,4.2.1.46,R06513
K02062,7.6.2.15,
K00338,7.1.1.2,R11945
K00145,1.2.1.38,R03443
K03695,,
K01728,4.2.2.2,R02361;R06240
K07085,,
K21573,,
K19883,2.3.1.82;2.7.1.190,R11229
K16087,,
K02791,2.7.1.199;2.7.1.208,R02738;R04111
K02046,,
K01206,3.2.1.51,
K03733,,
K07004,,
K07126,,
K03544,,
K07347,,
K01751,4.3.1.15,
K02669,,
K23518,3.1.1.106,R12390;R12391
K02048,,
K02073,,
K04068,1.97.1.4,R04710
K03686,,
K03546,,
K02411,,
K16959,,
K07678,2.7.13.3,
K07126,,
K16092,,
K01776,5.1.1.3,R00260
K02492,1.2.1.70,R04109
K13195,,
K01183,3.2.1.14,R01206;R02334
K02040,,
K00266,1.4.1.13,R00114;R00248
K21573,,
K09458,2.3.1.179,R02768;R04355;R04726;R04952;R04957;R04960;R04963;R04968;R07762;R10115;R10119
K01407,3.4.24.55,
K21573,,
K07126,,
K00681,2.3.2.2;3.4.19.13,R00494;R01262;R01687;R03867;R03916;R03970;R03971;R04935
K01754,4.3.1.19,R00220;R00996
K19231,,
K08997,2.7.7.108,
K27802,4.2.1.3;4.2.1.99,R01324;R01325;R01900;R04425
K00526,1.17.4.1,R02017;R02018;R02019;R02024
K03631,,
K07497,,
K24300,4.2.1.135,R10266
K13010,2.6.1.102,R10460
K22452,2.3.2.13,
K02035,,
K00981,2.7.7.41,R01799
K01586,4.1.1.20,R00451
K04041,3.1.3.11,R00762;R04780
K07456,,
K06949,3.1.3.100,R00615;R02135
K01755,4.3.2.1,R01086
K01835,5.4.2.2,R00959;R01057;R08639
K14652,3.5.4.25;4.1.99.12,R00425;R07281
K03070,7.4.2.8,
K01689,4.2.1.11,R00658
K00763,6.3.4.21,R01724
K13075,3.1.1.81,R08970
K07126,,
K02035,,
K02520,,
K02887,,
K21084,2.7.7.65,
K01889,6.1.1.20,R03660
K01890,6.1.1.20,R03660
K14058,,
K14055,,
K01420,,
K08300,3.1.26.12,
K06179,5.4.99.24,
K01091,3.1.3.18,R01334
K07040,,
K02911,,
K03621,2.3.1.274,R12240
K00648,2.3.1.180,R10707
K00645,2.3.1.39,R01626;R11671
K00059,1.1.1.100,R02767;R04533;R04534;R04536;R04543;R04566;R04953;R04964;R07763;R10116;R10120;R11671
K09458,2.3.1.179,R02768;R04355;R04726;R04952;R04957;R04960;R04963;R04968;R07762;R10115;R10119
K07082,4.2.2.29,
K00943,2.7.4.9,R02094;R02098
K02341,2.7.7.7,
K03424,,
K06178,5.4.99.22,
K03885,1.6.5.9,
K07053,3.1.3.97,R00188;R11188
K03046,2.7.7.6,
K00796,2.5.1.15,R03066;R03067
K13381,3.2.1.14;3.2.1.17,R01206;R02334
K00602,2.1.2.3;3.5.4.10,R01127;R04560
K03746,,
K02335,2.7.7.7,
K06921,,
K07741,,
K18955,,
K07456,,
K01318,3.4.21.19,
K01890,6.1.1.20,R03660
K21573,,
K19668,3.2.1.91,R02886;R11308
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K01933,6.3.3.1,R04208
K03595,,
K07164,,
K05996,3.4.17.18,
K02302,1.3.1.76;2.1.1.107;4.99.1.4,R02864;R03194;R03947
K12257,,
K09952,,
K01191,3.2.1.24,
K00859,2.7.1.24,R00130
K03549,,
K00986,2.7.7.49,
K02886,,
K01992,,
K07487,,
K05851,4.6.1.1,R00089;R00434
K03311,,
K03406,,
K05846,,
K07258,3.4.16.4,
K03199,7.4.2.8,
K07015,,
K01791,5.1.3.14,R00420
K04566,6.1.1.6,R03658
K03929,,
K13018,2.3.1.201,R10100
K01181,3.2.1.8,
K09798,,
K07277,,
K01929,6.3.2.10,R04573;R04617
K07738,,
K03646,,
K14761,,
K01736,4.2.3.5,R01714
K02586,1.18.6.1,R05185;R05496
K02854,,
K07452,,
K01181,3.2.1.8,
K03217,,
K21573,,
K03046,2.7.7.6,
K00800,2.5.1.19,R03460
K01243,3.2.2.9,R00194;R01401
K01684,4.2.1.6,R03033
K05589,,
K00991,2.7.7.60,R05633
K01770,4.6.1.12,R05637
K00573,2.1.1.77,
K06194,,
K06194,,
K00117,1.1.5.2,R06620
K00602,2.1.2.3;3.5.4.10,R01127;R04560
K01775,5.1.1.1,R00401
K01783,5.1.3.1,R01529
K01153,3.1.21.3,
K18303,,
K26976,,
K00558,2.1.1.37,R04858
K21572,,
K01995,,
K15726,,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K01089,3.1.3.15;4.2.1.19,R03013;R03457
K02338,2.7.7.7,
K01955,6.3.5.5,R00256;R00575;R01395;R10948;R10949
K15777,,R08836
K06196,,
K07095,,
K21573,,
K03292,,
K02390,,
K13735,,
K00052,1.1.1.85,R00994;R04426;R10052
K01649,2.3.3.13,R01213
K21573,,
K14201,,
K13893,,
K07493,,
K07037,,
K06076,,
K01809,5.3.1.8,R00772;R01819
K01890,6.1.1.20,R03660
K08368,,
K00285,1.4.5.1,R01374;R09493
K03529,,
K10036,,
K00558,2.1.1.37,R04858
K01114,3.1.4.3,R01312;R02027;R02052;R03332;R07381
K00957,2.7.7.4,R00529;R04929
K00998,2.7.8.8,R01800
K01788,5.1.3.9,R02087
K21449,,
K03406,,
K04720,4.1.1.81,R06530
K02500,4.3.2.10,R04558
K04043,,
K08300,3.1.26.12,
K03527,1.17.7.4,R05884;R08210
K02407,,
