KO,EC,Reaction,role,metabolite
K13929,2.3.1.187,R08944,substrate,C00383
K13929,2.3.1.187,R08944,product,C01209
K13929,2.3.1.187,R08944,product,C00033
K01939,6.3.4.4,R01135,substrate,C00044
K01939,6.3.4.4,R01135,substrate,C00130
K01939,6.3.4.4,R01135,substrate,C00049
K01939,6.3.4.4,R01135,product,C00035
K01939,6.3.4.4,R01135,product,C00009
K01939,6.3.4.4,R01135,product,C03794
K01918,6.3.2.1,R02473,substrate,C00002
K01918,6.3.2.1,R02473,substrate,C00522
K01918,6.3.2.1,R02473,substrate,C00099
K01918,6.3.2.1,R02473,product,C00020
K01918,6.3.2.1,R02473,product,C00013
K01918,6.3.2.1,R02473,product,C00864
K00928,2.7.2.4,R00480,substrate,C00002
K00928,2.7.2.4,R00480,substrate,C00049
K00928,2.7.2.4,R00480,product,C00008
K00928,2.7.2.4,R00480,product,C03082
K01493,3.5.4.12,R01663,substrate,C00239
K01493,3.5.4.12,R01663,substrate,C00001
K01493,3.5.4.12,R01663,product,C00365
K01493,3.5.4.12,R01663,product,C00014
K02564,3.5.99.6,R00765,substrate,C00352
K02564,3.5.99.6,R00765,substrate,C00001
K02564,3.5.99.6,R00765,product,C00085
K02564,3.5.99.6,R00765,product,C00014
K00603,2.1.2.5;6.3.3.2,R02287,substrate,C00664
K00603,2.1.2.5;6.3.3.2,R02287,substrate,C00025
K00603,2.1.2.5;6.3.3.2,R02287,product,C00101
K00603,2.1.2.5;6.3.3.2,R02287,product,C00439
K00603,2.1.2.5;6.3.3.2,R02301,substrate,C00002
K00603,2.1.2.5;6.3.3.2,R02301,substrate,C03479
K00603,2.1.2.5;6.3.3.2,R02301,substrate,C00080
K00603,2.1.2.5;6.3.3.2,R02301,product,C00008
K00603,2.1.2.5;6.3.3.2,R02301,product,C00009
K00603,2.1.2.5;6.3.3.2,R02301,product,C00445
K00603,2.1.2.5;6.3.3.2,R03189,substrate,C03479
K00603,2.1.2.5;6.3.3.2,R03189,substrate,C00025
K00603,2.1.2.5;6.3.3.2,R03189,product,C00101
K00603,2.1.2.5;6.3.3.2,R03189,product,C01045
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11928,substrate,C04628
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11928,substrate,C03576
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11928,substrate,C00876
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11928,substrate,C00138
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11928,substrate,C00080
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11928,product,C04832
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11928,product,C01080
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11928,product,C00139
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11931,substrate,C04628
